

#  Woodland Mansion 1
88, 120, "WM1"
#     It had a bunch of Alleys.
#     The Alleys are currently by 59, 59, on leads.
#     Underneath is an Ancient City.
152, 72, "AC1"

#  and a Village 1 near them
#     Y = 120
20, -20, "V1"


# Original Stronghold Village
#     Above ground, there is an old growth pine tiaga,
#         where a full village was created.
1316, -720, "OSV"
#       There is a chest and crafting table to launch a search starting underground.
#                   1420, -25, -720
#       Centerpoint
1236, -662, "OSC"
#
#       /locate structure stronghold:
1152, -608, "OSL"
#             I found it at Y level -15, yay!
#             This is the Stronghold entrance from OSL.
#
#     The End Portal entrance is here:
#         Y level -32
1176, -589, "OSEP"
#
# Chunkbase says it is at
#1156, -604, "SH1-CBS"
#     Didn't find it at Y level -64


# Jungle Biome Mini-Base
#     This is the closest one by the original Stronghold.
#           at Y level 95.
#     There is an ocean near here.
954, -1534, "JBMB"


# Chunkbase Village 3
#   It exists! This village was used to populate the stronghold village created.
#       There is a decent little base here.  It has a fence perimeter, traders, and farm stuff.
1344, -160, "V3"


# Woodland Mansion 2
#   This one burned down, twice.
#   There are still Allays, storage, bed, food farm, lava farm, and Nether Chest there.
728, -568, "WM2"

# Village 4
-320, -480, "V4"



#-------------------------------------------

#The above is from the nerdstash.  Below are some that I found.

# Ancient City (first one)
#
#  return waterfall
#
#   Y = -45
#
146, 80, "RW1"
#
#   There is an amethyst geode right ahead of the bottom of the waterfall .



#Second Village
#
#    I had the inial horse here.
#
-315, -480, "V2"


# There is a Meadow Village here.
#
#     I left a cat (and Alley?) here, and flew back to the original Stronghold Village.
#
1168, 384, "MV1"


# Desert Base 1 (by an ocean)
1264, -4880, "DB1"


# Ocean Monument 1
672, -3872, "OM"


# Ocean Monument 1 Base
#     There is sweet little vacation base here.
#     There Librarian villages here to with good under water trades for the Ocean Monument.
#             (Resiration and Depth Strider)
#     A lush cave is at these coordinates.
#                   609, 0, -3688
#                   Once you are down there the return location is at these stairs.
#                         593, -5, -3812
#TODO: Get Axolotls to whoop the Elder Guardians!
#             The Axolotls did not help that much, but they are so cute!
586, -3808, "OMB"






